,ESTIMATE,Demographic Category,Specific Category,Year,Age
4727,7.4,Sex and age,Male: 45-54 years,2008,45-54 years
4728,7.4,Sex,Female,2005,All ages
4729,7.4,Sex and race (single race),Female: Black or African American,2018,All ages
4730,,Sex and age,Male: 75-84 years,1999,75-84 years
4731,,Sex and age,Male: 75-84 years,2000,75-84 years
4732,,Sex and age,Male: 75-84 years,2001,75-84 years
4733,,Sex and age,Male: 75-84 years,2002,75-84 years
4734,,Sex and age,Male: 75-84 years,2003,75-84 years
4735,,Sex and age,Male: 75-84 years,2004,75-84 years
4736,,Sex and age,Male: 75-84 years,2005,75-84 years
4737,,Sex and age,Male: 75-84 years,2006,75-84 years
4738,,Sex and age,Male: 75-84 years,2007,75-84 years
4739,,Sex and age,Male: 75-84 years,2008,75-84 years
4740,,Sex and age,Male: 75-84 years,2009,75-84 years
4741,,Sex and age,Male: 75-84 years,2010,75-84 years
4742,,Sex and age,Male: 75-84 years,2011,75-84 years
4743,,Sex and age,Male: 75-84 years,2012,75-84 years
4744,,Sex and age,Male: 75-84 years,2013,75-84 years
4745,,Sex and age,Male: 75-84 years,2014,75-84 years
4746,,Sex and age,Male: 75-84 years,2015,75-84 years
4747,,Sex and age,Male: 75-84 years,2016,75-84 years
4748,7.4,Sex and race,Female: Black or African American,2018,All ages
4749,,Sex and age,Male: 85 years and over,1999,85 years and over
4750,,Sex and age,Male: 85 years and over,2000,85 years and over
4751,,Sex and age,Male: 85 years and over,2001,85 years and over
4752,,Sex and age,Male: 85 years and over,2002,85 years and over
4753,,Sex and age,Male: 85 years and over,2003,85 years and over
4754,,Sex and age,Male: 85 years and over,2004,85 years and over
4755,,Sex and age,Male: 85 years and over,2005,85 years and over
4756,,Sex and age,Male: 85 years and over,2006,85 years and over
4757,,Sex and age,Male: 85 years and over,2007,85 years and over
4758,,Sex and age,Male: 85 years and over,2008,85 years and over
4759,,Sex and age,Male: 85 years and over,2009,85 years and over
4760,,Sex and age,Male: 85 years and over,2010,85 years and over
4761,,Sex and age,Male: 85 years and over,2011,85 years and over
4762,,Sex and age,Male: 85 years and over,2012,85 years and over
4763,,Sex and age,Male: 85 years and over,2013,85 years and over
4764,,Sex and age,Male: 85 years and over,2014,85 years and over
4765,,Sex and age,Male: 85 years and over,2015,85 years and over
4766,,Sex and age,Male: 85 years and over,2016,85 years and over
4767,,Sex and age,Male: 85 years and over,2017,85 years and over
4768,,Sex and age,Female: Under 15 years,1999,Under 15 years
4769,7.4,Sex and race,Female: White,2014,All ages
4770,,Sex and age,Female: Under 15 years,2000,Under 15 years
4771,,Sex and age,Female: Under 15 years,2001,Under 15 years
4772,,Sex and age,Female: Under 15 years,2002,Under 15 years
4773,,Sex and age,Female: Under 15 years,2003,Under 15 years
4774,,Sex and age,Female: Under 15 years,2004,Under 15 years
4775,,Sex and age,Female: Under 15 years,2005,Under 15 years
4776,,Sex and age,Female: Under 15 years,2006,Under 15 years
4777,,Sex and age,Female: Under 15 years,2007,Under 15 years
4778,,Sex and age,Female: Under 15 years,2008,Under 15 years
4779,,Sex and age,Female: Under 15 years,2009,Under 15 years
4780,,Sex and age,Female: Under 15 years,2010,Under 15 years
4781,,Sex and age,Female: Under 15 years,2011,Under 15 years
4782,,Sex and age,Female: Under 15 years,2012,Under 15 years
4783,,Sex and age,Female: Under 15 years,2013,Under 15 years
4784,,Sex and age,Female: Under 15 years,2014,Under 15 years
4785,,Sex and age,Female: Under 15 years,2015,Under 15 years
4786,,Sex and age,Female: Under 15 years,2016,Under 15 years
4787,,Sex and age,Female: Under 15 years,2017,Under 15 years
4788,,Sex and age,Female: 15-24 years,1999,15-24 years
4789,,Sex and age,Female: 15-24 years,2000,15-24 years
4790,,Sex and age,Female: 15-24 years,2001,15-24 years
4791,7.4,Sex and race,Male: Black or African American,2014,All ages
4792,7.4,Sex,Male,2016,All ages
4793,7.4,Sex and race,Male: White,2005,All ages
4794,7.5,Sex and age,Female: 55-64 years,2005,55-64 years
4795,7.5,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2004,All ages
4796,7.5,Sex and age,Male: 15-24 years,2006,15-24 years
4797,7.5,Sex and race and Hispanic origin (single race),Female: Not Hispanic or Latino: White,2018,All ages
4798,7.5,Sex and race and Hispanic origin (single race),Male: Hispanic or Latino: All races,2018,All ages
4799,7.5,Sex and race,Female: Black or African American,2015,All ages
4800,7.5,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2003,All ages
4801,7.5,Sex and age,Male: 55-64 years,2017,55-64 years
4802,7.5,Sex and age,Male: 35-44 years,2010,35-44 years
4803,7.5,Sex and age,Male: 25-34 years,2011,25-34 years
4804,7.5,Sex,Male,2016,All ages
4805,7.5,Sex and race,Female: American Indian or Alaska Native,2017,All ages
4806,7.5,Sex and race,Female: White,2004,All ages
4807,7.5,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2001,All ages
4808,7.6,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2010,All ages
4809,7.6,Sex and age,Male: 15-24 years,2007,15-24 years
4810,7.6,Sex and age,Male: 45-54 years,2018,45-54 years
4811,7.6,Sex and race and Hispanic origin (single race),Female: Not Hispanic or Latino: Black,2018,All ages
4812,7.6,Sex and age,Male: 55-64 years,2017,55-64 years
4813,7.6,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2009,All ages
4814,7.6,Sex and age,Male: 45-54 years,2009,45-54 years
4815,7.6,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2013,All ages
4816,7.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2014,All ages
4817,7.6,Sex and race,Male: Black or African American,2018,All ages
4818,7.6,Age,45-54 years,2012,45-54 years
4819,7.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2004,All ages
4820,7.6,Sex and race,Female: American Indian or Alaska Native,2016,All ages
4821,7.7,Age,15-24 years,2009,15-24 years
4822,7.7,Sex and age,Female: 25-34 years,2013,25-34 years
4823,7.7,Sex and age,Female: 25-34 years,2012,25-34 years
4824,7.7,Sex and age,Female: 45-54 years,2000,45-54 years
4825,10.3,Sex and age,Female: 25-34 years,2017,25-34 years
4826,7.7,Sex and age,Male: 15-24 years,2009,15-24 years
4827,7.7,Sex and age,Male: 55-64 years,2018,55-64 years
4828,7.7,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2015,All ages
4829,7.7,Sex and age,Female: 45-54 years,2014,45-54 years
4830,7.7,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: Black,2018,All ages
4831,7.7,Sex and age,Male: 35-44 years,2011,35-44 years
4832,7.7,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2018,All ages
4833,7.7,Age,35-44 years,2017,35-44 years
4834,7.7,Age,35-44 years,2016,35-44 years
4835,7.8,Sex,Male,2006,All ages
4836,7.8,Sex and age,Female: 45-54 years,2005,45-54 years
4837,7.8,Sex and age,Female: 35-44 years,2007,35-44 years
4838,7.8,Sex and age,Male: 55-64 years,2003,55-64 years
4839,7.8,Sex and race (single race),Male: Black or African American,2018,All ages
4840,7.8,Age,55-64 years,2011,55-64 years
4841,7.8,Age,35-44 years,2001,35-44 years
4842,7.8,Sex and race (single race),Male: White,2018,All ages
4843,7.8,Sex and age,Male: 55-64 years,2016,55-64 years
4844,7.8,Sex and age,Male: 35-44 years,2015,35-44 years
4845,7.8,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2018,All ages
4846,7.8,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2005,All ages
4847,7.8,Sex and race,Male: Black or African American,2017,All ages
4848,7.8,Sex and race,Male: White,2018,All ages
4849,7.8,Age,45-54 years,2013,45-54 years
4850,7.8,Sex and age,Female: 45-54 years,2017,45-54 years
4851,7.8,Age,55-64 years,2004,55-64 years
4852,7.9,Total,All persons,2013,All ages
4853,7.9,Age,25-34 years,2000,25-34 years
4854,7.9,Sex and age,Female: 55-64 years,2013,55-64 years
4855,7.9,Sex and age,Female: 15-24 years,2017,15-24 years
4856,7.9,Sex and age,Male: 15-24 years,2012,15-24 years
4857,7.9,Sex,Male,2006,All ages
4858,7.9,Sex and race,Female: American Indian or Alaska Native,2006,All ages
4859,7.9,Sex and race,Female: American Indian or Alaska Native,2004,All ages
4860,7.9,Sex and age,Female: 45-54 years,2015,45-54 years
4861,7.9,Total,All persons,2013,All ages
4862,7.9,Age,45-54 years,2011,45-54 years
4863,7.9,Sex and age,Male: 35-44 years,2015,35-44 years
4864,7.9,Sex and race,Male: American Indian or Alaska Native,2012,All ages
4865,7.9,Sex and race and Hispanic origin (single race),Male: Not Hispanic or Latino: Black,2018,All ages
4866,8.0,Sex,Male,2007,All ages
4867,8.0,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,1999,All ages
4868,8.0,Age,15-24 years,2012,15-24 years
4869,8.0,Sex and age,Female: 35-44 years,2009,35-44 years
4870,8.0,Sex and age,Female: 35-44 years,2008,35-44 years
4871,8.0,Age,15-24 years,2008,15-24 years
4872,8.0,Age,25-34 years,2014,25-34 years
4873,8.0,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2002,All ages
4874,8.0,Sex and age,Male: 15-24 years,2010,15-24 years
4875,8.0,Sex and age,Male: 35-44 years,2018,35-44 years
4876,8.0,Sex and age,Male: 65-74 years,2018,65-74 years
4877,8.0,Sex and age,Female: 45-54 years,2017,45-54 years
4878,8.0,Sex and age,Male: 45-54 years,2012,45-54 years
4879,8.0,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2017,All ages
4880,8.0,Sex and race,Male: White,2017,All ages
4881,8.0,Age,45-54 years,2014,45-54 years
4882,8.0,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2005,All ages
4883,,Sex and age,Female: 65-74 years,1999,65-74 years
4884,,Sex and age,Female: 65-74 years,2000,65-74 years
4885,,Sex and age,Female: 65-74 years,2001,65-74 years
4886,8.0,Sex and race,Female: White,2005,All ages
4887,8.0,Sex and race,Male: American Indian or Alaska Native,2008,All ages
4888,8.1,Age,25-34 years,1999,25-34 years
4889,8.1,Sex and race,Male: White,1999,All ages
4890,8.1,Age,15-24 years,2006,15-24 years
4891,8.1,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2011,All ages
4892,8.1,Sex and age,Male: 15-24 years,2008,15-24 years
4893,8.1,Sex,Male,2007,All ages
4894,8.1,Sex and age,Female: 45-54 years,2016,45-54 years
4895,8.1,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2015,All ages
4896,8.1,Age,45-54 years,2015,45-54 years
4897,8.2,Age,15-24 years,2010,15-24 years
4898,8.2,Age,15-24 years,2007,15-24 years
4899,8.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2009,All ages
4900,8.2,Sex and age,Male: 45-54 years,1999,45-54 years
4901,8.2,Total,All persons,2002,All ages
4902,,Sex and age,Female: 75-84 years,1999,75-84 years
4903,,Sex and age,Female: 75-84 years,2000,75-84 years
4904,,Sex and age,Female: 75-84 years,2001,75-84 years
4905,,Sex and age,Female: 75-84 years,2002,75-84 years
4906,,Sex and age,Female: 75-84 years,2003,75-84 years
4907,,Sex and age,Female: 75-84 years,2004,75-84 years
4908,,Sex and age,Female: 75-84 years,2005,75-84 years
4909,,Sex and age,Female: 75-84 years,2006,75-84 years
4910,,Sex and age,Female: 75-84 years,2007,75-84 years
4911,,Sex and age,Female: 75-84 years,2008,75-84 years
4912,8.2,Sex and age,Male: 25-34 years,2002,25-34 years
4913,,Sex and age,Female: 75-84 years,2010,75-84 years
4914,,Sex and age,Female: 75-84 years,2011,75-84 years
4915,8.2,Sex and age,Male: 15-24 years,2013,15-24 years
4916,,Sex and age,Female: 75-84 years,2013,75-84 years
4917,,Sex and age,Female: 75-84 years,2014,75-84 years
4918,,Sex and age,Female: 75-84 years,2015,75-84 years
4919,,Sex and age,Female: 75-84 years,2016,75-84 years
4920,8.2,Sex and race,Male: American Indian or Alaska Native,2002,All ages
4921,,Sex and age,Female: 85 years and over,1999,85 years and over
4922,,Sex and age,Female: 85 years and over,2000,85 years and over
4923,,Sex and age,Female: 85 years and over,2001,85 years and over
4924,,Sex and age,Female: 85 years and over,2002,85 years and over
4925,,Sex and age,Female: 85 years and over,2003,85 years and over
4926,,Sex and age,Female: 85 years and over,2004,85 years and over
4927,,Sex and age,Female: 85 years and over,2005,85 years and over
4928,,Sex and age,Female: 85 years and over,2006,85 years and over
4929,,Sex and age,Female: 85 years and over,2007,85 years and over
4930,,Sex and age,Female: 85 years and over,2008,85 years and over
4931,,Sex and age,Female: 85 years and over,2009,85 years and over
4932,,Sex and age,Female: 85 years and over,2010,85 years and over
4933,,Sex and age,Female: 85 years and over,2011,85 years and over
4934,,Sex and age,Female: 85 years and over,2012,85 years and over
4935,,Sex and age,Female: 85 years and over,2013,85 years and over
4936,,Sex and age,Female: 85 years and over,2014,85 years and over
4937,,Sex and age,Female: 85 years and over,2015,85 years and over
4938,,Sex and age,Female: 85 years and over,2016,85 years and over
4939,,Sex and age,Female: 85 years and over,2017,85 years and over
4940,8.2,Sex,Female,2006,All ages
4941,8.2,Sex and age,Male: 45-54 years,2015,45-54 years
4942,8.2,Sex and age,Male: 45-54 years,2013,45-54 years
4943,8.2,Sex,Male,1999,All ages
4944,8.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2007,All ages
4945,8.2,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2004,All ages
4946,8.2,Sex,Male,1999,All ages
4947,8.2,Sex and race,Female: White,2015,All ages
4948,8.2,Age,65-74 years,2016,65-74 years
4949,8.2,Total,All persons,2002,All ages
4950,8.3,Age,15-24 years,2013,15-24 years
4951,8.3,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2003,All ages
4952,8.3,Sex and age,Male: 55-64 years,2009,55-64 years
4953,8.3,Age,55-64 years,2012,55-64 years
4954,8.3,Sex,Male,2000,All ages
4955,8.3,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2004,All ages
4956,8.3,Sex and age,Male: 45-54 years,2010,45-54 years
4957,8.3,Sex and age,Male: 25-34 years,2017,25-34 years
4958,8.3,Sex,Female,2006,All ages
4959,8.3,Sex and race,Male: White,2016,All ages
4960,8.3,Age,55-64 years,2017,55-64 years
4961,8.4,Sex,Male,2008,All ages
4962,8.4,Sex and race,Male: Black or African American,2016,All ages
4963,8.4,Sex and race,Male: White,2000,All ages
4964,8.4,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2008,All ages
4965,8.4,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2005,All ages
4966,8.4,Sex,Female,2016,All ages
4967,8.4,Age,45-54 years,2002,45-54 years
4968,8.4,Age,15-24 years,2018,15-24 years
4969,8.4,Sex and age,Male: 45-54 years,2014,45-54 years
4970,8.4,Sex and age,Male: 25-34 years,2016,25-34 years
4971,8.4,Sex and age,Male: 15-24 years,2018,15-24 years
4972,8.4,Sex,Male,2000,All ages
4973,8.4,Sex and age,Female: 45-54 years,2018,45-54 years
4974,8.5,Sex and age,Male: 65-74 years,2015,65-74 years
4975,8.5,Sex and age,Female: 35-44 years,2010,35-44 years
4976,8.5,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2012,All ages
4977,8.5,Sex and age,Female: 25-34 years,2005,25-34 years
4978,8.5,Sex,Male,2008,All ages
4979,8.5,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2014,All ages
4980,8.5,Sex and age,Male: 15-24 years,2017,15-24 years
4981,8.5,Sex,Female,2016,All ages
4982,8.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2000,All ages
4983,8.6,Age,25-34 years,2001,25-34 years
4984,8.6,Age,15-24 years,2014,15-24 years
4985,8.6,Age,15-24 years,2011,15-24 years
4986,8.6,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,1999,All ages
4987,8.6,Sex and age,Male: 45-54 years,2000,45-54 years
4988,8.6,Sex and age,Male: 15-24 years,2011,15-24 years
4989,8.6,Sex and age,Male: 55-64 years,2004,55-64 years
4990,8.6,Sex and race,Female: American Indian or Alaska Native,2005,All ages
4991,8.6,Sex and age,Male: 45-54 years,2011,45-54 years
4992,8.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2018,All ages
4993,8.6,Age,45-54 years,2017,45-54 years
4994,8.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2016,All ages
4995,8.7,Sex,Male,2010,All ages
4996,8.7,Sex,Male,2009,All ages
4997,8.7,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2007,All ages
4998,8.7,Sex and age,Female: 35-44 years,1999,35-44 years
4999,8.7,Sex and age,Male: 55-64 years,2010,55-64 years
5000,8.7,Sex,Male,2009,All ages
5001,8.7,Sex and race and Hispanic origin (single race),Male: Not Hispanic or Latino: White,2018,All ages
5002,8.7,Sex and age,Male: 45-54 years,2015,45-54 years
5003,8.7,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2010,All ages
5004,8.7,Age,45-54 years,2016,45-54 years
5005,8.7,Sex,Male,2016,All ages
5006,8.7,Total,All persons,2017,All ages
5007,8.7,Sex and race,Male: White,2006,All ages
5008,8.8,Sex and age,Female: 25-34 years,2014,25-34 years
5009,8.8,Sex and age,Female: 55-64 years,2006,55-64 years
5010,8.8,Sex,Male,2010,All ages
5011,8.8,Sex,Female,2007,All ages
5012,8.8,Sex and race,Female: American Indian or Alaska Native,2008,All ages
5013,8.8,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2005,All ages
5014,8.8,Sex and age,Male: 15-24 years,2003,15-24 years
5015,8.9,Sex,Male,2016,All ages
5016,8.9,Sex and age,Female: 35-44 years,2012,35-44 years
5017,8.9,Total,All persons,2003,All ages
5018,8.9,Sex and age,Male: 25-34 years,2003,25-34 years
5019,8.9,Sex and age,Male: 15-24 years,2014,15-24 years
5020,8.9,Sex,Female,2008,All ages
5021,8.9,Sex,Female,2018,All ages
5022,8.9,Total,All persons,2003,All ages
5023,8.9,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2014,All ages
5024,8.9,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2017,All ages
5025,8.9,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2017,All ages
5026,9.0,Total,All persons,2014,All ages
5027,9.0,Total,All persons,2017,All ages
5028,9.0,Sex and age,Female: 55-64 years,2014,55-64 years
5029,9.0,Sex and race and Hispanic origin (single race),Male: Not Hispanic or Latino: American Indian or Alaska Native,2018,All ages
5030,9.0,Sex,Female,2018,All ages
5031,,Sex and race,Male: American Indian or Alaska Native,1999,All ages
5032,,Sex and race,Male: American Indian or Alaska Native,2000,All ages
5033,,Sex and race,Male: American Indian or Alaska Native,2001,All ages
5034,,Sex and race,Male: American Indian or Alaska Native,2002,All ages
5035,,Sex and race,Male: American Indian or Alaska Native,2003,All ages
5036,,Sex and race,Male: American Indian or Alaska Native,2004,All ages
5037,,Sex and race,Male: American Indian or Alaska Native,2005,All ages
5038,,Sex and race,Male: American Indian or Alaska Native,2006,All ages
5039,,Sex and race,Male: American Indian or Alaska Native,2007,All ages
5040,9.0,Age,25-34 years,2006,25-34 years
5041,9.0,Sex,Male,2001,All ages
5042,,Sex and race,Male: American Indian or Alaska Native,2010,All ages
5043,9.0,Total,All persons,2014,All ages
5044,9.0,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2011,All ages
5045,9.0,Age,35-44 years,2016,35-44 years
5046,9.0,Sex,Female,2008,All ages
5047,9.0,Sex,Female,2007,All ages
5048,9.0,Sex,Male,2001,All ages
5049,9.0,Sex and race,Female: White,2006,All ages
5050,9.0,Age,45-54 years,2016,45-54 years
5051,,Sex and race,Male: Asian or Pacific Islander,1999,All ages
5052,,Sex and race,Male: Asian or Pacific Islander,2000,All ages
5053,,Sex and race,Male: Asian or Pacific Islander,2001,All ages
5054,,Sex and race,Male: Asian or Pacific Islander,2002,All ages
5055,,Sex and race,Male: Asian or Pacific Islander,2003,All ages
5056,,Sex and race,Male: Asian or Pacific Islander,2004,All ages
5057,,Sex and race,Male: Asian or Pacific Islander,2005,All ages
5058,,Sex and race,Male: Asian or Pacific Islander,2006,All ages
5059,,Sex and race,Male: Asian or Pacific Islander,2007,All ages
5060,,Sex and race,Male: Asian or Pacific Islander,2008,All ages
5061,,Sex and race,Male: Asian or Pacific Islander,2009,All ages
5062,,Sex and race,Male: Asian or Pacific Islander,2010,All ages
5063,9.0,Age,55-64 years,2005,55-64 years
5064,9.1,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2006,All ages
5065,9.1,Sex and age,Female: 45-54 years,2001,45-54 years
5066,9.1,Sex,Female,2009,All ages
5067,9.1,Age,35-44 years,2018,35-44 years
5068,9.1,Age,35-44 years,2017,35-44 years
5069,9.1,Sex and age,Male: 35-44 years,2016,35-44 years
5070,9.1,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: American Indian or Alaska Native,2006,All ages
5071,9.1,Sex and race,Male: Black or African American,2015,All ages
5072,9.1,Sex and race,Male: White,2007,All ages
5073,9.2,Sex and race,Male: White,2001,All ages
5074,9.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2013,All ages
5075,9.2,Sex and age,Female: 35-44 years,2000,35-44 years
5076,9.2,Sex and age,Male: 55-64 years,2011,55-64 years
5077,9.2,Sex,Female,2017,All ages
5078,9.2,Age,45-54 years,2003,45-54 years
5079,9.2,Sex and age,Male: 35-44 years,2014,35-44 years
5080,9.2,Sex,Female,2009,All ages
5081,9.2,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2016,All ages
5082,9.2,Age,65-74 years,2017,65-74 years
5083,9.3,Sex and age,Female: 45-54 years,2006,45-54 years
5084,9.3,Sex and race and Hispanic origin,Male: Hispanic or Latino: All races,2014,All ages
5085,9.3,Sex and age,Female: 35-44 years,2011,35-44 years
5086,9.3,Age,15-24 years,2016,15-24 years
5087,9.3,Sex and age,Male: 45-54 years,2017,45-54 years
5088,9.3,Sex and age,Male: 45-54 years,2016,45-54 years
5089,9.3,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: Black,2015,All ages
5090,9.3,Sex and age,Female: 35-44 years,2017,35-44 years
5091,9.3,Sex and race,Male: American Indian or Alaska Native,2015,All ages
5092,9.4,Sex,Male,2011,All ages
5093,9.4,Sex and age,Male: 45-54 years,2001,45-54 years
5094,9.4,Total,All persons,2004,All ages
5095,9.4,Total,All persons,2004,All ages
5096,9.4,Sex and age,Male: 25-34 years,2004,25-34 years
5097,9.4,Sex and race,Male: American Indian or Alaska Native,2003,All ages
5098,9.4,Sex,Male,2011,All ages
5099,9.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2003,All ages
5100,9.4,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2015,All ages
5101,9.4,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2016,All ages
5102,9.4,Sex,Female,2017,All ages
5103,9.5,Sex,Male,2012,All ages
5104,9.5,Sex and age,Female: 25-34 years,2006,25-34 years
5105,9.5,Sex,Male,2012,All ages
5106,9.5,Age,55-64 years,2018,55-64 years
5107,9.5,Age,35-44 years,2002,35-44 years
5108,9.5,Age,15-24 years,2017,15-24 years
5109,9.5,Sex and age,Male: 35-44 years,2017,35-44 years
5110,9.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2001,All ages
5111,,Sex and race,Female: American Indian or Alaska Native,1999,All ages
5112,,Sex and race,Female: American Indian or Alaska Native,2000,All ages
5113,,Sex and race,Female: American Indian or Alaska Native,2001,All ages
5114,,Sex and race,Female: American Indian or Alaska Native,2002,All ages
5115,,Sex and race,Female: American Indian or Alaska Native,2003,All ages
5116,,Sex and race,Female: American Indian or Alaska Native,2004,All ages
5117,,Sex and race,Female: American Indian or Alaska Native,2005,All ages
5118,,Sex and race,Female: American Indian or Alaska Native,2006,All ages
5119,,Sex and race,Female: American Indian or Alaska Native,2007,All ages
5120,,Sex and race,Female: American Indian or Alaska Native,2008,All ages
5121,,Sex and race,Female: American Indian or Alaska Native,2009,All ages
5122,,Sex and race,Female: American Indian or Alaska Native,2010,All ages
5123,9.6,Sex,Female,2010,All ages
5124,,Sex and race,Female: American Indian or Alaska Native,2012,All ages
5125,9.6,Age,45-54 years,2004,45-54 years
5126,9.6,Total,All persons,2018,All ages
5127,9.6,Sex and race,Female: American Indian or Alaska Native,2009,All ages
5128,9.6,Age,35-44 years,2005,35-44 years
5129,9.6,Age,35-44 years,2003,35-44 years
5130,9.6,Age,25-34 years,2007,25-34 years
5131,9.6,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2015,All ages
5132,,Sex and race,Female: Asian or Pacific Islander,1999,All ages
5133,,Sex and race,Female: Asian or Pacific Islander,2000,All ages
5134,,Sex and race,Female: Asian or Pacific Islander,2001,All ages
5135,,Sex and race,Female: Asian or Pacific Islander,2002,All ages
5136,,Sex and race,Female: Asian or Pacific Islander,2003,All ages
5137,,Sex and race,Female: Asian or Pacific Islander,2004,All ages
5138,,Sex and race,Female: Asian or Pacific Islander,2005,All ages
5139,,Sex and race,Female: Asian or Pacific Islander,2006,All ages
5140,,Sex and race,Female: Asian or Pacific Islander,2007,All ages
5141,,Sex and race,Female: Asian or Pacific Islander,2008,All ages
5142,,Sex and race,Female: Asian or Pacific Islander,2009,All ages
5143,,Sex and race,Female: Asian or Pacific Islander,2010,All ages
5144,,Sex and race,Female: Asian or Pacific Islander,2011,All ages
5145,,Sex and race,Female: Asian or Pacific Islander,2012,All ages
5146,,Sex and race,Female: Asian or Pacific Islander,2013,All ages
5147,,Sex and race,Female: Asian or Pacific Islander,2014,All ages
5148,9.6,Sex and age,Male: 15-24 years,2004,15-24 years
5149,9.6,Sex and race and Hispanic origin,Male: Not Hispanic or Latino: White,2006,All ages
5150,9.7,Age,15-24 years,2015,15-24 years
5151,9.7,Sex and race,Female: American Indian or Alaska Native,2010,All ages
5152,9.7,Age,35-44 years,2004,35-44 years
5153,9.7,Age,25-34 years,2015,25-34 years
5154,9.7,Sex and race,Female: White,2016,All ages
5155,9.7,Sex and race,Male: American Indian or Alaska Native,2014,All ages
5156,9.7,Sex and race,Male: White,2008,All ages
5157,9.8,Sex and age,Female: 55-64 years,2015,55-64 years
5158,9.8,Sex and age,Female: 35-44 years,2013,35-44 years
5159,9.8,Sex and age,Male: 15-24 years,2015,15-24 years
5160,9.8,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2012,All ages
5161,9.8,Sex,Female,2010,All ages
5162,9.8,Sex and race,Female: White,2007,All ages
5163,9.8,Sex and age,Male: 25-34 years,2015,25-34 years
5164,9.9,Sex and race,Male: White,2016,All ages
5165,9.9,Sex and age,Female: 25-34 years,2008,25-34 years
5166,9.9,Age,55-64 years,2013,55-64 years
5167,9.9,Sex and race,Female: American Indian or Alaska Native,2007,All ages
5168,9.9,Sex and age,Male: 25-34 years,2013,25-34 years
5169,9.9,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: American Indian or Alaska Native,2013,All ages
5170,9.9,Total,All persons,2018,All ages
5171,9.9,Sex and race,Male: White,2009,All ages
5172,10.0,Sex and age,Male: 65-74 years,2016,65-74 years
5173,10.0,Age,25-34 years,2008,25-34 years
5174,10.0,Sex and race,Female: Black or African American,2016,All ages
5175,10.0,Sex and race and Hispanic origin,Female: Not Hispanic or Latino: White,2006,All ages
